text,reading,roles,predicate_frame,standalone_kind,provenance_ids
位,ㄨㄟ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
一些,ㄧ1 ㄒㄧㄝ1,adjectival-predicate,adjectival,lexical-prompt,local:naer-top-10000-generation-v1
元,ㄩㄢ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
事,ㄕ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
日,ㄖ4,temporal,none,lexical-prompt,local:naer-top-10000-generation-v1
裡面,ㄌㄧ3 ㄇㄧㄢ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
生活,ㄕㄥ1 ㄏㄨㄛ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
希望,ㄒㄧ1 ㄨㄤ4,intransitive-predicate,intransitive,lexical-prompt,local:naer-top-10000-generation-v1
內,ㄋㄟ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
由,ㄧㄡ2,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
歲,ㄙㄨㄟ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
此,ㄘ3,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
發現,ㄈㄚ1 ㄒㄧㄢ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
名,ㄇㄧㄥ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
高,ㄍㄠ1,adjectival-predicate,adjectival,lexical-prompt,local:naer-top-10000-generation-v1
認為,ㄖㄣ4 ㄨㄟ2,intransitive-predicate,intransitive,lexical-prompt,local:naer-top-10000-generation-v1
其,ㄑㄧ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
一定,ㄧ1 ㄉㄧㄥ4,adjectival-predicate,adjectival,lexical-prompt,local:naer-top-10000-generation-v1
水,ㄕㄨㄟ3,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
發展,ㄈㄚ1 ㄓㄢ3,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
愛,ㄞ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
帶,ㄉㄞ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
件,ㄐㄧㄢ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
發生,ㄈㄚ1 ㄕㄥ1,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
請,ㄑㄧㄥ3,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
影響,ㄧㄥ3 ㄒㄧㄤ3,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
這裡,ㄓㄜ4 ㄌㄧ3,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
喜歡,ㄒㄧ3 ㄏㄨㄢ1,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
如,ㄖㄨ2,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
研究,ㄧㄢ2 ㄐㄧㄡ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
無法,ㄨ2 ㄈㄚ3,intransitive-predicate,intransitive,lexical-prompt,local:naer-top-10000-generation-v1
手,ㄕㄡ3,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
進行,ㄐㄧㄣ4 ㄒㄧㄥ2,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
找,ㄓㄠ3,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
叫,ㄐㄧㄠ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
包括,ㄅㄠ1 ㄍㄨㄚ1,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
出現,ㄔㄨ1 ㄒㄧㄢ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
造成,ㄗㄠ4 ㄔㄥ2,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
受,ㄕㄡ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
指出,ㄓ3 ㄔㄨ1,intransitive-predicate,intransitive,lexical-prompt,local:naer-top-10000-generation-v1
過去,ㄍㄨㄛ4 ㄑㄩ4,temporal,none,lexical-prompt,local:naer-top-10000-generation-v1
寫,ㄒㄧㄝ3,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
條,ㄊㄧㄠ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
場,ㄔㄤ3,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
放,ㄈㄤ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
邊,ㄅㄧㄢ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
提供,ㄊㄧ2 ㄍㄨㄥ1,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
張,ㄓㄤ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
一般,ㄧ1 ㄅㄢ1,adjectival-predicate,adjectival,lexical-prompt,local:naer-top-10000-generation-v1
其中,ㄑㄧ2 ㄓㄨㄥ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
使,ㄕ3,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
決定,ㄐㄩㄝ2 ㄉㄧㄥ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
教育,ㄐㄧㄠ4 ㄩ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
國際,ㄍㄨㄛ2 ㄐㄧ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
主要,ㄓㄨ3 ㄧㄠ4,adjectival-predicate,adjectival,lexical-prompt,local:naer-top-10000-generation-v1
段,ㄉㄨㄢ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
健康,ㄐㄧㄢ4 ㄎㄤ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
要求,ㄧㄠ1 ㄑㄧㄡ2,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
項,ㄒㄧㄤ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
服務,ㄈㄨ2 ㄨ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
起來,ㄑㄧ3 ㄌㄞ2,intransitive-predicate,intransitive,lexical-prompt,local:naer-top-10000-generation-v1
誰,ㄕㄟ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
花,ㄏㄨㄚ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
改變,ㄍㄞ3 ㄅㄧㄢ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
打,ㄉㄚ3,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
非,ㄈㄟ1,intransitive-predicate,intransitive,lexical-prompt,local:naer-top-10000-generation-v1
自然,ㄗ4 ㄖㄢ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
變,ㄅㄧㄢ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
完成,ㄨㄢ2 ㄔㄥ2,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
隻,ㄓ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
繼續,ㄐㄧ4 ㄒㄩ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
令,ㄌㄧㄥ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
運動,ㄩㄣ4 ㄉㄨㄥ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
開,ㄎㄞ1,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
接受,ㄐㄧㄝ1 ㄕㄡ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
參加,ㄘㄢ1 ㄐㄧㄚ1,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
代表,ㄉㄞ4 ㄅㄧㄠ3,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
準備,ㄓㄨㄣ3 ㄅㄟ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
處理,ㄔㄨ3 ㄌㄧ3,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
增加,ㄗㄥ1 ㄐㄧㄚ1,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
合作,ㄏㄜ2 ㄗㄨㄛ4,intransitive-predicate,intransitive,lexical-prompt,local:naer-top-10000-generation-v1
是否,ㄕ4 ㄈㄡ3,intransitive-predicate,intransitive,lexical-prompt,local:naer-top-10000-generation-v1
回,ㄏㄨㄟ2,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
幫助,ㄅㄤ1 ㄓㄨ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
塊,ㄎㄨㄞ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
成,ㄔㄥ2,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
小時,ㄒㄧㄠ3 ㄕ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
首,ㄕㄡ3,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
支持,ㄓ1 ㄔ2,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
產生,ㄔㄢ3 ㄕㄥ1,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
即,ㄐㄧ2,intransitive-predicate,intransitive,lexical-prompt,local:naer-top-10000-generation-v1
安全,ㄢ1 ㄑㄩㄢ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
傳統,ㄔㄨㄢ2 ㄊㄨㄥ3,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
利用,ㄌㄧ4 ㄩㄥ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
面對,ㄇㄧㄢ4 ㄉㄨㄟ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
成功,ㄔㄥ2 ㄍㄨㄥ1,adjectival-predicate,adjectival,lexical-prompt,local:naer-top-10000-generation-v1
相關,ㄒㄧㄤ1 ㄍㄨㄢ1,adjectival-predicate,adjectival,lexical-prompt,local:naer-top-10000-generation-v1
出,ㄔㄨ1,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
加上,ㄐㄧㄚ1 ㄕㄤ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
超過,ㄔㄠ1 ㄍㄨㄛ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
嚴重,ㄧㄢ2 ㄓㄨㄥ4,adjectival-predicate,adjectival,lexical-prompt,local:naer-top-10000-generation-v1
提出,ㄊㄧ2 ㄔㄨ1,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
就是,ㄐㄧㄡ4 ㄕ4,modal,modal,lexical-prompt,local:naer-top-10000-generation-v1
強調,ㄑㄧㄤ2 ㄉㄧㄠ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
相信,ㄒㄧㄤ1 ㄒㄧㄣ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
受到,ㄕㄡ4 ㄉㄠ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
死,ㄙ3,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
舉辦,ㄐㄩ3 ㄅㄢ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
行動,ㄒㄧㄥ2 ㄉㄨㄥ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
獲得,ㄏㄨㄛ4 ㄉㄜ2,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
參與,ㄘㄢ1 ㄩ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
找到,ㄓㄠ3 ㄉㄠ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
解決,ㄐㄧㄝ3 ㄐㄩㄝ2,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
成長,ㄔㄥ2 ㄓㄤ3,intransitive-predicate,intransitive,lexical-prompt,local:naer-top-10000-generation-v1
個人,ㄍㄜ4 ㄖㄣ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
表現,ㄅㄧㄠ3 ㄒㄧㄢ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
管理,ㄍㄨㄢ3 ㄌㄧ3,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
調查,ㄉㄧㄠ4 ㄔㄚ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
討論,ㄊㄠ3 ㄌㄨㄣ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
建議,ㄐㄧㄢ4 ㄧ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
指,ㄓ3,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
持續,ㄔ2 ㄒㄩ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
組織,ㄗㄨ3 ㄓ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
協助,ㄒㄧㄝ2 ㄓㄨ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
畫,ㄏㄨㄚ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
推出,ㄊㄨㄟ1 ㄔㄨ1,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
治療,ㄓ4 ㄌㄧㄠ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
言,ㄧㄢ2,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
加,ㄐㄧㄚ1,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
只有,ㄓ3 ㄧㄡ3,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
投資,ㄊㄡ2 ㄗ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
離開,ㄌㄧ2 ㄎㄞ1,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
座,ㄗㄨㄛ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
成立,ㄔㄥ2 ㄌㄧ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
本身,ㄅㄣ3 ㄕㄣ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
注意,ㄓㄨ4 ㄧ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
擁有,ㄩㄥ3 ㄧㄡ3,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
專業,ㄓㄨㄢ1 ㄧㄝ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
最近,ㄗㄨㄟ4 ㄐㄧㄣ4,temporal,none,lexical-prompt,local:naer-top-10000-generation-v1
存在,ㄘㄨㄣ2 ㄗㄞ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
有關,ㄧㄡ3 ㄍㄨㄢ1,adjectival-predicate,adjectival,lexical-prompt,local:naer-top-10000-generation-v1
周,ㄓㄡ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
例如,ㄌㄧ4 ㄖㄨ2,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
達,ㄉㄚ2,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
經營,ㄐㄧㄥ1 ㄧㄥ2,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
快樂,ㄎㄨㄞ4 ㄌㄜ4,adjectival-predicate,adjectival,lexical-prompt,local:naer-top-10000-generation-v1
帶來,ㄉㄞ4 ㄌㄞ2,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
光,ㄍㄨㄤ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
眼,ㄧㄢ3,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
提到,ㄊㄧ2 ㄉㄠ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
自由,ㄗ4 ㄧㄡ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
減少,ㄐㄧㄢ3 ㄕㄠ3,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
訓練,ㄒㄩㄣ4 ㄌㄧㄢ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
保護,ㄅㄠ3 ㄏㄨ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
結合,ㄐㄧㄝ2 ㄏㄜ2,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
形成,ㄒㄧㄥ2 ㄔㄥ2,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
說明,ㄕㄨㄛ1 ㄇㄧㄥ2,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
結束,ㄐㄧㄝ2 ㄕㄨ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
變化,ㄅㄧㄢ4 ㄏㄨㄚ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
馬,ㄇㄚ3,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
吸引,ㄒㄧ1 ㄧㄣ3,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
維持,ㄨㄟ2 ㄔ2,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
演出,ㄧㄢ3 ㄔㄨ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
解釋,ㄐㄧㄝ3 ㄕ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
創作,ㄔㄨㄤ4 ㄗㄨㄛ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
導致,ㄉㄠ3 ㄓ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
建立,ㄐㄧㄢ4 ㄌㄧ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
生產,ㄕㄥ1 ㄔㄢ3,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
除,ㄔㄨ2,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
分析,ㄈㄣ1 ㄒㄧ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
反應,ㄈㄢ3 ㄧㄥ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
白,ㄅㄞ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
舉行,ㄐㄩ3 ㄒㄧㄥ2,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
避免,ㄅㄧ4 ㄇㄧㄢ3,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
選舉,ㄒㄩㄢ3 ㄐㄩ3,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
達到,ㄉㄚ2 ㄉㄠ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
需,ㄒㄩ1,modal,modal,lexical-prompt,local:naer-top-10000-generation-v1
挑戰,ㄊㄧㄠ3 ㄓㄢ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
規定,ㄍㄨㄟ1 ㄉㄧㄥ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
絕對,ㄐㄩㄝ2 ㄉㄨㄟ4,adjectival-predicate,adjectival,lexical-prompt,local:naer-top-10000-generation-v1
換,ㄏㄨㄢ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
開放,ㄎㄞ1 ㄈㄤ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
堅持,ㄐㄧㄢ1 ㄔ2,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
交通,ㄐㄧㄠ1 ㄊㄨㄥ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
製作,ㄓ4 ㄗㄨㄛ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
適合,ㄕ4 ㄏㄜ2,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
層,ㄘㄥ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
控制,ㄎㄨㄥ4 ㄓ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
負責,ㄈㄨ4 ㄗㄜ2,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
遇到,ㄩ4 ㄉㄠ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
確定,ㄑㄩㄝ4 ㄉㄧㄥ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
反,ㄈㄢ3,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
明顯,ㄇㄧㄥ2 ㄒㄧㄢ3,adjectival-predicate,adjectival,lexical-prompt,local:naer-top-10000-generation-v1
季,ㄐㄧ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
選,ㄒㄩㄢ3,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
標準,ㄅㄧㄠ1 ㄓㄨㄣ3,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
