batch_order,general_rank,text,reading_authority,reading_evidence_type,reading_evidence,decision,roles,predicate_frame,standalone_kind,rationale
31,374,隻,moe-concised,trainer-bopomofo,ㄓ1,held-context-dependent,,,,Previously held by manual review in batch 1; a human decision always overrides the automatic rule
32,380,令,moe-concised,trainer-bopomofo,ㄌㄧㄥ4,held-context-dependent,,,,Previously held by manual review in batch 1; a human decision always overrides the automatic rule
33,399,是否,moe-concised,trainer-bopomofo,ㄕ4 ㄈㄡ3,held-context-dependent,,,,Previously held by manual review in batch 1; a human decision always overrides the automatic rule
34,403,塊,moe-concised,trainer-bopomofo,ㄎㄨㄞ4,held-context-dependent,,,,Previously held by manual review in batch 1; a human decision always overrides the automatic rule
35,412,小時,moe-concised,trainer-bopomofo,ㄒㄧㄠ3 ㄕ2,held-context-dependent,,,,Previously held by manual review in batch 1; a human decision always overrides the automatic rule
36,422,美,moe-concised,trainer-bopomofo,ㄇㄟ3,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
37,427,情況,moe-concised,trainer-bopomofo,ㄑㄧㄥ2 ㄎㄨㄤ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
38,428,醫院,moe-concised,trainer-bopomofo,ㄧ1 ㄩㄢ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
39,430,如此,moe-concised,trainer-bopomofo,ㄖㄨ2 ㄘ3,approved-existing-schema,intransitive-predicate,intransitive,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
40,434,社區,moe-concised,trainer-bopomofo,ㄕㄜ4 ㄑㄩ1,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
41,436,作品,moe-concised,trainer-bopomofo,ㄗㄨㄛ4 ㄆㄧㄣ3,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
42,441,藝術,moe-concised,trainer-bopomofo,ㄧ4 ㄕㄨ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
43,448,父親,moe-concised,trainer-bopomofo,ㄈㄨ4 ㄑㄧㄣ1,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
44,449,地區,moe-concised,trainer-bopomofo,ㄉㄧ4 ㄑㄩ1,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
45,462,方面,moe-concised,trainer-bopomofo,ㄈㄤ1 ㄇㄧㄢ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
46,464,空間,moe-concised,trainer-bopomofo,ㄎㄨㄥ1 ㄐㄧㄢ1,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
47,466,久,moe-concised,trainer-bopomofo,ㄐㄧㄡ3,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
48,468,臺灣,moe-concised,trainer-bopomofo,ㄊㄞ2 ㄨㄢ1,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
49,469,產業,moe-concised,trainer-bopomofo,ㄔㄢ3 ㄧㄝ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
50,472,辦法,moe-concised,trainer-bopomofo,ㄅㄢ4 ㄈㄚ3,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
51,476,事實,moe-concised,trainer-bopomofo,ㄕ4 ㄕ2,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
52,478,精神,moe-concised,trainer-bopomofo,ㄐㄧㄥ1 ㄕㄣ2,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
53,479,住,moe-concised,trainer-bopomofo,ㄓㄨ4,approved-existing-schema,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
54,480,醫師,moe-concised,trainer-bopomofo,ㄧ1 ㄕ1,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
55,483,政策,moe-concised,trainer-bopomofo,ㄓㄥ4 ㄘㄜ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
56,488,得到,moe-revised,trainer-bopomofo,ㄉㄜ2 ㄉㄠ4,approved-existing-schema,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
57,491,出來,moe-concised,trainer-bopomofo,ㄔㄨ1 ㄌㄞ2,approved-existing-schema,intransitive-predicate,intransitive,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
58,499,知,cedict-unique,numbered-pinyin,zhi1,approved-existing-schema,intransitive-predicate,intransitive,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
59,500,原因,moe-concised,trainer-bopomofo,ㄩㄢ2 ㄧㄣ1,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
60,501,時代,moe-concised,trainer-bopomofo,ㄕ2 ㄉㄞ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
61,513,母親,moe-concised,trainer-bopomofo,ㄇㄨ3 ㄑㄧㄣ1,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
62,514,土地,moe-concised,trainer-bopomofo,ㄊㄨ3 ㄉㄧ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
63,515,現場,moe-concised,trainer-bopomofo,ㄒㄧㄢ4 ㄔㄤ3,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
64,516,父母,moe-concised,trainer-bopomofo,ㄈㄨ4 ㄇㄨ3,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
65,518,基本,moe-concised,trainer-bopomofo,ㄐㄧ1 ㄅㄣ3,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
66,521,全球,moe-concised,trainer-bopomofo,ㄑㄩㄢ2 ㄑㄧㄡ2,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
67,523,真正,moe-concised,trainer-bopomofo,ㄓㄣ1 ㄓㄥ4,approved-existing-schema,adjectival-predicate,adjectival,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
68,529,行為,moe-concised,trainer-bopomofo,ㄒㄧㄥ2 ㄨㄟ2,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
69,531,分鐘,moe-concised,trainer-bopomofo,ㄈㄣ1 ㄓㄨㄥ1,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
70,533,不少,moe-concised,trainer-bopomofo,ㄅㄨ4 ㄕㄠ3,approved-existing-schema,adjectival-predicate,adjectival,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
71,541,人類,moe-concised,trainer-bopomofo,ㄖㄣ2 ㄌㄟ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
72,542,產品,moe-concised,trainer-bopomofo,ㄔㄢ3 ㄆㄧㄣ3,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
73,544,資源,moe-concised,trainer-bopomofo,ㄗ1 ㄩㄢ2,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
74,548,力量,moe-concised,trainer-bopomofo,ㄌㄧ4 ㄌㄧㄤ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
75,554,技術,moe-concised,trainer-bopomofo,ㄐㄧ4 ㄕㄨ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
76,558,食物,moe-concised,trainer-bopomofo,ㄕ2 ㄨ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
77,569,目標,moe-concised,trainer-bopomofo,ㄇㄨ4 ㄅㄧㄠ1,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
78,575,壓力,moe-concised,trainer-bopomofo,ㄧㄚ1 ㄌㄧ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
79,577,年輕,moe-concised,trainer-bopomofo,ㄋㄧㄢ2 ㄑㄧㄥ1,approved-existing-schema,adjectival-predicate,adjectival,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
80,580,回到,cedict-unique,numbered-pinyin,hui2 dao4,approved-existing-schema,transitive-predicate,transitive,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
81,581,音樂,moe-concised,trainer-bopomofo,ㄧㄣ1 ㄩㄝ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
82,583,中央,moe-concised,trainer-bopomofo,ㄓㄨㄥ1 ㄧㄤ1,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
83,589,當中,moe-concised,trainer-bopomofo,ㄉㄤ1 ㄓㄨㄥ1,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
84,591,價值,moe-concised,trainer-bopomofo,ㄐㄧㄚ4 ㄓ2,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
85,596,事件,moe-concised,trainer-bopomofo,ㄕ4 ㄐㄧㄢ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
86,598,動物,moe-concised,trainer-bopomofo,ㄉㄨㄥ4 ㄨ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
87,599,意義,moe-concised,trainer-bopomofo,ㄧ4 ㄧ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
88,601,網路,moe-concised,trainer-bopomofo,ㄨㄤ3 ㄌㄨ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
89,604,媒體,moe-concised,trainer-bopomofo,ㄇㄟ2 ㄊㄧ3,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
90,605,歡迎,moe-concised,trainer-bopomofo,ㄏㄨㄢ1 ㄧㄥ2,approved-existing-schema,intransitive-predicate,intransitive,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
91,609,意思,moe-revised,trainer-bopomofo,ㄧ4 ㄙ5,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
92,614,推動,moe-concised,trainer-bopomofo,ㄊㄨㄟ1 ㄉㄨㄥ4,approved-existing-schema,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
93,621,擔任,moe-concised,trainer-bopomofo,ㄉㄢ1 ㄖㄣ4,approved-existing-schema,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
94,622,份,moe-concised,trainer-bopomofo,ㄈㄣ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
95,626,家人,moe-concised,trainer-bopomofo,ㄐㄧㄚ1 ㄖㄣ2,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
96,627,遭,moe-concised,trainer-bopomofo,ㄗㄠ1,approved-existing-schema,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
97,629,當地,moe-concised,trainer-bopomofo,ㄉㄤ1 ㄉㄧ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
98,635,實際,moe-concised,trainer-bopomofo,ㄕ2 ㄐㄧ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
99,636,鼓勵,moe-concised,trainer-bopomofo,ㄍㄨ3 ㄌㄧ4,approved-existing-schema,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
100,639,科技,moe-concised,trainer-bopomofo,ㄎㄜ1 ㄐㄧ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
101,641,內容,moe-concised,trainer-bopomofo,ㄋㄟ4 ㄖㄨㄥ2,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
102,642,穿,moe-concised,trainer-bopomofo,ㄔㄨㄢ1,approved-existing-schema,transitive-predicate,transitive,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
103,653,單位,moe-concised,trainer-bopomofo,ㄉㄢ1 ㄨㄟ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
104,655,顆,moe-concised,trainer-bopomofo,ㄎㄜ1,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
105,658,觀眾,moe-concised,trainer-bopomofo,ㄍㄨㄢ1 ㄓㄨㄥ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
106,659,功能,moe-concised,trainer-bopomofo,ㄍㄨㄥ1 ㄋㄥ2,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
107,660,城市,moe-concised,trainer-bopomofo,ㄔㄥ2 ㄕ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
108,661,來到,cedict-unique,numbered-pinyin,lai2 dao4,approved-existing-schema,transitive-predicate,transitive,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
109,662,加入,moe-concised,trainer-bopomofo,ㄐㄧㄚ1 ㄖㄨ4,approved-existing-schema,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
110,665,女性,moe-concised,trainer-bopomofo,ㄋㄩ3 ㄒㄧㄥ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
111,666,情緒,moe-concised,trainer-bopomofo,ㄑㄧㄥ2 ㄒㄩ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
112,667,期間,moe-concised,trainer-bopomofo,ㄑㄧ2 ㄐㄧㄢ1,approved-existing-schema,temporal,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
113,669,動作,moe-concised,trainer-bopomofo,ㄉㄨㄥ4 ㄗㄨㄛ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
114,670,教授,moe-concised,trainer-bopomofo,ㄐㄧㄠ4 ㄕㄡ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
115,690,態度,moe-concised,trainer-bopomofo,ㄊㄞ4 ㄉㄨ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
116,691,角色,moe-concised,trainer-bopomofo,ㄐㄩㄝ2 ㄙㄜ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
117,698,代,moe-concised,trainer-bopomofo,ㄉㄞ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
118,707,叫做,moe-revised,trainer-bopomofo,ㄐㄧㄠ4 ㄗㄨㄛ4,approved-existing-schema,transitive-predicate,transitive,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
119,714,她們,moe-concised,trainer-bopomofo,ㄊㄚ1 ㄇㄣ5,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
120,716,針對,moe-concised,trainer-bopomofo,ㄓㄣ1 ㄉㄨㄟ4,approved-existing-schema,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
121,718,香港,cedict-unique,numbered-pinyin,Xiang1 gang3,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
122,721,銀行,moe-concised,trainer-bopomofo,ㄧㄣ2 ㄏㄤ2,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
123,724,感到,cedict-unique,numbered-pinyin,gan3 dao4,approved-existing-schema,intransitive-predicate,intransitive,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
124,734,長期,moe-concised,trainer-bopomofo,ㄔㄤ2 ㄑㄧ2,approved-existing-schema,temporal,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
125,743,英國,moe-revised,trainer-bopomofo,ㄧㄥ1 ㄍㄨㄛ2,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
126,744,博士,moe-concised,trainer-bopomofo,ㄅㄛ2 ㄕ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
127,746,男,moe-concised,trainer-bopomofo,ㄋㄢ2,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
128,748,團體,moe-concised,trainer-bopomofo,ㄊㄨㄢ2 ㄊㄧ3,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
129,749,比賽,moe-concised,trainer-bopomofo,ㄅㄧ3 ㄙㄞ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
130,756,下午,moe-concised,trainer-bopomofo,ㄒㄧㄚ4 ㄨ3,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
131,758,節目,moe-concised,trainer-bopomofo,ㄐㄧㄝ2 ㄇㄨ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
132,764,生態,moe-concised,trainer-bopomofo,ㄕㄥ1 ㄊㄞ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
133,766,植物,moe-concised,trainer-bopomofo,ㄓ2 ㄨ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
134,767,知識,moe-concised,trainer-bopomofo,ㄓ1 ㄕ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
135,769,附近,moe-concised,trainer-bopomofo,ㄈㄨ4 ㄐㄧㄣ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
136,780,科學,moe-concised,trainer-bopomofo,ㄎㄜ1 ㄒㄩㄝ2,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
137,785,具有,moe-revised,trainer-bopomofo,ㄐㄩ4 ㄧㄡ3,approved-existing-schema,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
138,786,人民,moe-concised,trainer-bopomofo,ㄖㄣ2 ㄇㄧㄣ2,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
139,788,公園,moe-concised,trainer-bopomofo,ㄍㄨㄥ1 ㄩㄢ2,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
140,793,主義,moe-concised,trainer-bopomofo,ㄓㄨ3 ㄧ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
141,799,人們,moe-concised,trainer-bopomofo,ㄖㄣ2 ㄇㄣ5,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
142,803,資訊,moe-concised,trainer-bopomofo,ㄗ1 ㄒㄩㄣ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
143,806,需求,moe-concised,trainer-bopomofo,ㄒㄩ1 ㄑㄧㄡ2,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
144,807,情形,moe-concised,trainer-bopomofo,ㄑㄧㄥ2 ㄒㄧㄥ2,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
145,808,效果,moe-concised,trainer-bopomofo,ㄒㄧㄠ4 ㄍㄨㄛ3,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
146,809,報告,moe-concised,trainer-bopomofo,ㄅㄠ4 ㄍㄠ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
147,812,公尺,moe-concised,trainer-bopomofo,ㄍㄨㄥ1 ㄔ3,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
148,813,具,moe-concised,trainer-bopomofo,ㄐㄩ4,approved-existing-schema,transitive-predicate,transitive,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
149,814,新聞,moe-concised,trainer-bopomofo,ㄒㄧㄣ1 ㄨㄣ2,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
150,815,前往,moe-concised,trainer-bopomofo,ㄑㄧㄢ2 ㄨㄤ3,approved-existing-schema,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
151,825,品牌,moe-concised,trainer-bopomofo,ㄆㄧㄣ3 ㄆㄞ2,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
152,829,概念,moe-concised,trainer-bopomofo,ㄍㄞ4 ㄋㄧㄢ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
153,830,方向,moe-concised,trainer-bopomofo,ㄈㄤ1 ㄒㄧㄤ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
154,833,課程,moe-concised,trainer-bopomofo,ㄎㄜ4 ㄔㄥ2,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
155,839,現象,moe-concised,trainer-bopomofo,ㄒㄧㄢ4 ㄒㄧㄤ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
156,847,協會,moe-concised,trainer-bopomofo,ㄒㄧㄝ2 ㄏㄨㄟ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
