batch_order,general_rank,text,reading_authority,reading_evidence_type,reading_evidence,review_lane,occurrence_count,dominant_upos,upos_counts,dependency_relation_counts,root_count,verb_object_frame,review_status
28,166,重要,moe-concised,trainer-bopomofo,ㄓㄨㄥ4 ㄧㄠ4,adjectival-evidence,71,ADJ,ADJ=71,acl:relcl=3;amod=59;ccomp=1;compound=2;csubj=3;root=3,3,,pending
29,171,美國,moe-revised,trainer-bopomofo,ㄇㄟ3 ㄍㄨㄛ2,nominal-evidence,182,PROPN,PROPN=182,advcl=1;compound=6;conj=6;nmod=146;nsubj=6;obj=14;obl=3,0,,pending
30,172,其,cedict-unique,numbered-pinyin,qi2,nominal-evidence,221,PRON,PRON=221,conj=1;det=6;nmod=159;nsubj=43;nsubj:pass=1;obj=1;obl=4;obl:patient=6,0,,pending
31,178,中國,moe-revised,trainer-bopomofo,ㄓㄨㄥ1 ㄍㄨㄛ2,nominal-evidence,277,PROPN,PROPN=277,ccomp=1;compound=7;conj=5;iobj=1;nmod=238;nsubj=14;obj=8;obl=3,0,,pending
32,179,政府,moe-concised,trainer-bopomofo,ㄓㄥ4 ㄈㄨ3,nominal-evidence,123,NOUN,NOUN=123,appos=1;ccomp=1;compound=2;conj=4;nmod=43;nsubj=50;obj=11;obl=6;obl:agent=3;parataxis=1;root=1,1,,pending
33,181,社會,moe-concised,trainer-bopomofo,ㄕㄜ4 ㄏㄨㄟ4,nominal-evidence,73,NOUN,NOUN=73,compound=3;conj=2;nmod=55;nsubj=3;obj=3;obl=7,0,,pending
34,182,世界,moe-concised,trainer-bopomofo,ㄕ4 ㄐㄧㄝ4,nominal-evidence,108,NOUN,NOUN=107;PROPN=1,appos=1;compound=15;conj=2;nmod=58;nsubj=7;obj=7;obl=17;obl:patient=1,0,,pending
35,186,活動,moe-concised,trainer-bopomofo,ㄏㄨㄛ2 ㄉㄨㄥ4,nominal-evidence,47,NOUN,NOUN=43;VERB=4,advcl=1;appos=2;compound=2;conj=4;nmod=5;nsubj=8;obj=19;obl=3;root=2;xcomp=1,2,objectless-only,pending
36,187,公司,moe-concised,trainer-bopomofo,ㄍㄨㄥ1 ㄙ1,nominal-evidence,119,NOUN,NOUN=119,appos=3;conj=5;nmod=35;nsubj=56;nsubj:pass=1;obj=16;obl:agent=1;obl:patient=1;xcomp=1,0,,pending
37,192,民眾,moe-concised,trainer-bopomofo,ㄇㄧㄣ2 ㄓㄨㄥ4,nominal-evidence,9,NOUN,NOUN=9,compound=1;nmod=2;nsubj=5;obj=1,0,,pending
38,194,不同,moe-concised,trainer-bopomofo,ㄅㄨ4 ㄊㄨㄥ2,adjectival-evidence,98,ADJ,ADJ=93;NOUN=4;VERB=1,acl=2;acl:relcl=5;advcl=3;amod=68;ccomp=5;compound=1;conj=1;csubj=2;obj=4;parataxis=1;root=5;xcomp=1,5,object-bearing-only,pending
39,198,關係,moe-concised,trainer-bopomofo,ㄍㄨㄢ1 ㄒㄧ4,nominal-evidence,52,NOUN,NOUN=52,appos=1;compound=2;conj=5;nmod=4;nsubj=12;obj=22;obl=6,0,,pending
40,200,能夠,moe-concised,trainer-bopomofo,ㄋㄥ2 ㄍㄡ4,auxiliary-evidence,25,AUX,AUX=25,aux=25,0,,pending
41,203,不能,moe-concised,trainer-bopomofo,ㄅㄨ4 ㄋㄥ2,auxiliary-evidence,20,AUX,AUX=20,aux=19;conj=1,0,,pending
42,204,事情,moe-concised,trainer-bopomofo,ㄕ4 ㄑㄧㄥ2,nominal-evidence,8,NOUN,NOUN=8,ccomp=1;conj=1;nmod=1;nsubj=1;obj=3;obl:agent=1,0,,pending
43,205,最後,moe-concised,trainer-bopomofo,ㄗㄨㄟ4 ㄏㄡ4,nominal-evidence,54,NOUN,ADJ=1;NOUN=53,amod=1;nmod=20;nmod:tmod=31;obl=2,0,,pending
44,211,國家,moe-concised,trainer-bopomofo,ㄍㄨㄛ2 ㄐㄧㄚ1,nominal-evidence,128,NOUN,NOUN=128,advcl=1;appos=4;compound=9;conj=4;nmod=75;nsubj=16;obj=10;obl=3;parataxis=1;root=4;xcomp=1,4,,pending
45,214,方式,moe-concised,trainer-bopomofo,ㄈㄤ1 ㄕ4,nominal-evidence,36,NOUN,NOUN=36,appos=1;ccomp=2;conj=3;nmod=4;nsubj=6;obj=9;obl=9;root=2,2,,pending
46,219,必須,moe-concised,trainer-bopomofo,ㄅㄧ4 ㄒㄩ1,auxiliary-evidence,30,AUX,ADJ=1;AUX=28;VERB=1,amod=1;aux=27;conj=1;parataxis=1,0,objectless-only,pending
47,220,件,moe-concised,trainer-bopomofo,ㄐㄧㄢ4,nominal-evidence,16,NOUN,NOUN=16,clf=8;nmod=2;nsubj=2;obj=2;obl=1;root=1,1,,pending
48,228,請,cedict-unique,numbered-pinyin,qing3,verbal-evidence,8,VERB,VERB=8,advcl=1;ccomp=1;discourse=1;root=3;xcomp=2,3,mixed-object-evidence,pending
49,230,走,moe-concised,trainer-bopomofo,ㄗㄡ3,verbal-evidence,6,VERB,VERB=6,advcl=3;appos=1;ccomp=1;root=1,1,objectless-only,pending
50,234,環境,moe-concised,trainer-bopomofo,ㄏㄨㄢ2 ㄐㄧㄥ4,nominal-evidence,25,NOUN,NOUN=25,conj=3;nmod=12;nsubj=3;obj=7,0,,pending
51,235,文化,moe-concised,trainer-bopomofo,ㄨㄣ2 ㄏㄨㄚ4,nominal-evidence,68,NOUN,NOUN=68,acl=1;compound=5;conj=8;nmod=41;nsubj=6;obj=4;obl=3,0,,pending
52,239,大陸,moe-revised,trainer-bopomofo,ㄉㄚ4 ㄌㄨ4,nominal-evidence,39,NOUN,NOUN=38;PROPN=1,compound=4;conj=2;nmod=20;nsubj=4;obj=8;obl=1,0,,pending
53,245,大學,moe-concised,trainer-bopomofo,ㄉㄚ4 ㄒㄩㄝ2,nominal-evidence,121,NOUN,NOUN=120;PROPN=1,acl=1;appos=2;ccomp=1;compound=7;conj=10;nmod=52;nsubj=22;nsubj:pass=1;obj=19;obl=5;root=1,1,,pending
54,248,目前,moe-concised,trainer-bopomofo,ㄇㄨ4 ㄑㄧㄢ2,nominal-evidence,67,NOUN,NOUN=67,conj=1;nmod=13;nmod:tmod=53,0,,pending
55,249,部分,moe-concised,trainer-bopomofo,ㄅㄨ4 ㄈㄣ4,nominal-evidence,91,NOUN,NOUN=91,acl=1;appos=3;compound=1;nmod=44;nsubj=17;nsubj:pass=2;nummod=2;obj=11;obl=3;obl:patient=1;root=6,6,,pending
56,251,無法,moe-concised,trainer-bopomofo,ㄨ2 ㄈㄚ3,verbal-evidence,28,VERB,VERB=28,acl:relcl=1;advcl=2;amod=1;ccomp=6;parataxis=8;root=6;xcomp=4,6,objectless-only,pending
57,258,日本,moe-revised,trainer-bopomofo,ㄖ4 ㄅㄣ3,nominal-evidence,130,PROPN,PROPN=130,appos=1;compound=10;conj=9;nmod=86;nsubj=10;obj=9;obl=2;parataxis=1;root=2,2,,pending
58,262,未來,moe-concised,trainer-bopomofo,ㄨㄟ4 ㄌㄞ2,nominal-evidence,16,NOUN,NOUN=15;PROPN=1,conj=2;flat:name=1;nmod=8;nmod:tmod=2;obj=2;obl=1,0,,pending
59,269,學校,moe-concised,trainer-bopomofo,ㄒㄩㄝ2 ㄒㄧㄠ4,nominal-evidence,65,NOUN,NOUN=65,advcl=1;appos=1;iobj=1;nmod=21;nsubj=19;nsubj:pass=1;obj=10;obl=9;obl:agent=1;root=1,1,,pending
60,275,經濟,moe-concised,trainer-bopomofo,ㄐㄧㄥ1 ㄐㄧ4,nominal-evidence,42,NOUN,NOUN=42,compound=6;conj=4;nmod=27;nsubj=5,0,,pending
61,278,當時,moe-concised,trainer-bopomofo,ㄉㄤ1 ㄕ2,nominal-evidence,84,NOUN,NOUN=84,nmod=25;nmod:tmod=54;obl=5,0,,pending
62,283,過程,moe-concised,trainer-bopomofo,ㄍㄨㄛ4 ㄔㄥ2,nominal-evidence,26,NOUN,NOUN=26,conj=3;nmod=3;nsubj=6;obj=2;obl=10;root=2,2,,pending
63,284,感覺,moe-concised,trainer-bopomofo,ㄍㄢ3 ㄐㄩㄝ2,nominal-evidence,6,NOUN,NOUN=5;VERB=1,advcl=1;conj=1;nsubj=2;obj=1;root=1,1,objectless-only,pending
64,287,結果,moe-concised,trainer-bopomofo,ㄐㄧㄝ2 ㄍㄨㄛ3,nominal-evidence,24,NOUN,NOUN=24,conj=1;nmod=1;nsubj=11;obj=3;obl=8,0,,pending
65,288,指出,moe-concised,trainer-bopomofo,ㄓ3 ㄔㄨ1,verbal-evidence,17,VERB,VERB=17,advcl=1;ccomp=1;parataxis=4;root=11,11,objectless-only,pending
66,291,後來,moe-concised,trainer-bopomofo,ㄏㄡ4 ㄌㄞ2,nominal-evidence,57,NOUN,NOUN=57,nmod=4;nmod:tmod=50;obl=3,0,,pending
67,292,機會,moe-concised,trainer-bopomofo,ㄐㄧ1 ㄏㄨㄟ4,nominal-evidence,11,NOUN,NOUN=11,nsubj=1;obj=10,0,,pending
68,301,條,moe-concised,trainer-bopomofo,ㄊㄧㄠ2,nominal-evidence,68,NOUN,NOUN=68,clf=51;dislocated=1;nmod=9;nsubj=2;nummod=1;obj=2;obl=1;root=1,1,,pending
69,307,放,cedict-unique,numbered-pinyin,fang4,verbal-evidence,8,VERB,VERB=8,advcl=4;ccomp=1;conj=1;parataxis=1;root=1,1,mixed-object-evidence,pending
70,311,故事,moe-concised,trainer-bopomofo,ㄍㄨ4 ㄕ4,nominal-evidence,52,NOUN,NOUN=52,acl=1;appos=1;conj=1;nmod=10;nsubj=21;obj=12;obl=4;parataxis=1;root=1,1,,pending
71,313,變成,moe-concised,trainer-bopomofo,ㄅㄧㄢ4 ㄔㄥ2,verbal-evidence,18,VERB,VERB=18,acl=1;acl:relcl=2;advcl=2;ccomp=4;conj=1;parataxis=2;root=4;xcomp=2,4,object-bearing-only,pending
72,319,其中,moe-revised,trainer-bopomofo,ㄑㄧ2 ㄓㄨㄥ1,nominal-evidence,108,NOUN,NOUN=108,nmod=54;nsubj=8;obj=2;obl=44,0,,pending
73,320,先生,moe-concised,trainer-bopomofo,ㄒㄧㄢ1 ㄕㄥ1,nominal-evidence,13,NOUN,NOUN=13,appos=2;conj=1;nmod=2;nsubj=2;obj=2;obl=2;parataxis=1;root=1,1,,pending
74,322,同時,moe-concised,trainer-bopomofo,ㄊㄨㄥ2 ㄕ2,nominal-evidence,76,NOUN,NOUN=76,nmod:tmod=71;obl=5,0,,pending
75,323,使,moe-concised,trainer-bopomofo,ㄕ3,verbal-evidence,75,VERB,PART=6;VERB=69,advcl=13;amod=1;ccomp=9;conj=1;nmod=1;nsubj=1;obj=1;obl=1;parataxis=13;root=27;xcomp=7,27,mixed-object-evidence,pending
76,325,決定,moe-concised,trainer-bopomofo,ㄐㄩㄝ2 ㄉㄧㄥ4,verbal-evidence,43,VERB,NOUN=4;VERB=39,acl=1;advcl=5;ccomp=3;compound=2;csubj=1;nmod=2;obj=1;parataxis=6;root=22,22,mixed-object-evidence,pending
77,327,市場,moe-concised,trainer-bopomofo,ㄕ4 ㄔㄤ3,nominal-evidence,21,NOUN,NOUN=21,appos=1;compound=1;conj=2;nmod=3;nsubj=4;obj=6;obl=4,0,,pending
78,328,中心,moe-concised,trainer-bopomofo,ㄓㄨㄥ1 ㄒㄧㄣ1,nominal-evidence,64,NOUN,NOUN=64,advcl=1;appos=1;ccomp=2;compound=1;conj=5;nmod=25;nsubj=11;obj=12;obl=4;root=2,2,,pending
79,330,國際,moe-concised,trainer-bopomofo,ㄍㄨㄛ2 ㄐㄧ4,nominal-evidence,55,NOUN,NOUN=55,compound=6;nmod=47;nsubj=1;obj=1,0,,pending
80,334,狀況,moe-concised,trainer-bopomofo,ㄓㄨㄤ4 ㄎㄨㄤ4,nominal-evidence,12,NOUN,NOUN=12,nmod=2;nsubj=3;nsubj:pass=2;obj=3;obl=1;root=1,1,,pending
81,337,身體,moe-concised,trainer-bopomofo,ㄕㄣ1 ㄊㄧ3,nominal-evidence,25,NOUN,NOUN=25,compound=1;conj=1;nmod=5;nsubj=12;obj=5;obl:patient=1,0,,pending
82,346,項,moe-concised,trainer-bopomofo,ㄒㄧㄤ4,nominal-evidence,32,NOUN,NOUN=31;PROPN=1,clf=18;nmod=8;nsubj=2;obj=2;obl=2,0,,pending
83,348,生命,moe-concised,trainer-bopomofo,ㄕㄥ1 ㄇㄧㄥ4,nominal-evidence,14,NOUN,NOUN=14,conj=1;nmod=5;nsubj=3;obj=5,0,,pending
84,351,起來,moe-concised,trainer-bopomofo,ㄑㄧ3 ㄌㄞ2,verbal-evidence,16,VERB,VERB=16,acl:relcl=1;mark=15,0,objectless-only,pending
85,352,誰,moe-concised,trainer-bopomofo,ㄕㄟ2,nominal-evidence,6,PRON,PRON=6,nsubj=4;obj=2,0,,pending
86,354,歷史,moe-concised,trainer-bopomofo,ㄌㄧ4 ㄕ3,nominal-evidence,66,NOUN,NOUN=66,ccomp=1;compound=1;nmod=33;nsubj=8;nsubj:pass=1;obj=8;obl=14,0,,pending
87,369,電影,moe-concised,trainer-bopomofo,ㄉㄧㄢ4 ㄧㄥ3,nominal-evidence,70,NOUN,NOUN=70,acl=1;advcl=1;compound=4;conj=4;nmod=23;nsubj=12;nsubj:pass=1;obj=10;obl=6;obl:patient=1;root=6;xcomp=1,6,,pending
88,372,人員,moe-concised,trainer-bopomofo,ㄖㄣ2 ㄩㄢ2,nominal-evidence,34,NOUN,NOUN=34,ccomp=1;conj=3;nmod=4;nsubj=21;obj=5,0,,pending
89,374,隻,moe-concised,trainer-bopomofo,ㄓ1,nominal-evidence,13,NOUN,NOUN=13,acl=1;clf=6;nmod=3;obj=3,0,,pending
90,380,令,moe-concised,trainer-bopomofo,ㄌㄧㄥ4,verbal-evidence,22,VERB,PART=2;VERB=20,acl:relcl=2;advcl=1;ccomp=1;csubj=1;nsubj=1;obj=1;parataxis=3;root=11;xcomp=1,11,mixed-object-evidence,pending
91,385,家庭,moe-concised,trainer-bopomofo,ㄐㄧㄚ1 ㄊㄧㄥ2,nominal-evidence,26,NOUN,NOUN=26,nmod=14;nsubj=4;obj=4;obl=4,0,,pending
92,391,經驗,moe-concised,trainer-bopomofo,ㄐㄧㄥ1 ㄧㄢ4,nominal-evidence,8,NOUN,NOUN=8,conj=1;nmod=1;nsubj=3;obj=3,0,,pending
93,399,是否,moe-concised,trainer-bopomofo,ㄕ4 ㄈㄡ3,verbal-evidence,6,VERB,AUX=1;VERB=5,ccomp=2;cop=1;csubj=1;xcomp=2,0,objectless-only,pending
94,403,塊,moe-concised,trainer-bopomofo,ㄎㄨㄞ4,nominal-evidence,5,NOUN,NOUN=5,clf=3;nmod=2,0,,pending
95,405,能力,moe-concised,trainer-bopomofo,ㄋㄥ2 ㄌㄧ4,nominal-evidence,25,NOUN,NOUN=25,conj=6;nmod=2;nsubj=5;obj=12,0,,pending
96,412,小時,moe-concised,trainer-bopomofo,ㄒㄧㄠ3 ㄕ2,nominal-evidence,9,NOUN,NOUN=9,nmod=1;nmod:tmod=2;obj=4;obl=2,0,,pending
97,413,政治,moe-concised,trainer-bopomofo,ㄓㄥ4 ㄓ4,nominal-evidence,52,NOUN,NOUN=52,compound=5;conj=2;nmod=39;nsubj=2;obj=3;obl=1,0,,pending
98,417,企業,moe-concised,trainer-bopomofo,ㄑㄧ4 ㄧㄝ4,nominal-evidence,24,NOUN,NOUN=24,advcl=2;appos=2;compound=4;conj=1;nmod=3;nsubj=7;obj=5,0,,pending
99,418,總統,moe-revised,trainer-bopomofo,ㄗㄨㄥ3 ㄊㄨㄥ3,nominal-evidence,39,NOUN,NOUN=39,advcl=1;ccomp=1;compound=4;conj=2;iobj=1;nmod=10;nsubj=9;obj=11,0,,pending
100,421,進入,moe-concised,trainer-bopomofo,ㄐㄧㄣ4 ㄖㄨ4,verbal-evidence,35,VERB,VERB=35,advcl=16;ccomp=4;parataxis=3;root=10;xcomp=2,10,object-bearing-only,pending
